"Catalog ID";"UCAC4 787-033850";;;;;;
"Catalog Right Ascension";"21h27m48.096s";;;;;;
"Catalog Declination";"+67h21m42.01s";;;;;;
"Catalog Magnitude";11.94;;;;;;
"Reference catalog ID";"UCAC4 787-033850";;;;;;
"Reference catalog Right Ascension";"21h27m48.096s";;;;;;
"Reference catalog Declination";"+67h21m42.01s";;;;;;
"Reference catalog Magnitude";11.94;;;;;;
RA;Dec;Aperture;refAperture;Magnitude;"Exp begin";"Exp end";
"21h27m45.506s";"+67°21'39.12""";"200.899";"200.899";-0.0;1636232242497;1636232332500;"21h27m45.506s"
"21h27m44.607s";"+67°21'37.22""";"167.783";"167.783";-0.0;1636232469216;1636232559219;"21h27m44.607s"
"21h27m44.225s";"+67°21'39.65""";"230.259";"230.259";-0.0;1636230460282;1636230550282;"21h27m44.225s"
"21h27m47.255s";"+67°21'48.25""";"235.628";"235.628";-0.0;1636231143905;1636231233979;"21h27m47.255s"
"21h27m47.758s";"+67°21'45.41""";"244.379";"244.379";-0.0;1636230914269;1636231004272;"21h27m47.758s"
"21h27m43.921s";"+67°21'41.70""";"187.123";"187.123";-0.0;1636230239040;1636230329044;"21h27m43.921s"
"21h27m45.960s";"+67°21'50.42""";"212.865";"212.865";-0.0;1636229598141;1636229688146;"21h27m45.960s"
"21h27m46.416s";"+67°21'33.97""";"258.029";"258.029";-0.0;1636230053280;1636230143294;"21h27m46.416s"
"21h27m44.375s";"+67°21'48.45""";"239.35";"239.35";-0.0;1636231786509;1636231876512;"21h27m44.375s"
"21h27m46.071s";"+67°21'49.08""";"229.576";"229.576";-0.0;1636231369148;1636231459150;"21h27m46.071s"
"21h27m45.754s";"+67°21'44.82""";"261.637";"261.637";-0.0;1636230682391;1636230772393;"21h27m45.754s"
"21h27m49.726s";"+67°21'33.17""";"183.765";"183.765";-0.0;1636229136225;1636229226229;"21h27m49.726s"
"21h27m46.266s";"+67°21'44.00""";"233.92";"233.92";-0.0;1636228903774;1636228993773;"21h27m46.266s"
"21h27m47.379s";"+67°21'50.55""";"204.2";"204.2";-0.0;1636228017658;1636228107663;"21h27m47.379s"
"21h27m46.574s";"+67°21'42.17""";"256.548";"256.548";-0.0;1636228247432;1636228337437;"21h27m46.574s"
"21h27m44.951s";"+67°21'54.78""";"257.055";"257.055";-0.0;1636228677763;1636228767837;"21h27m44.951s"
"21h27m47.708s";"+67°21'44.66""";"224.048";"224.048";-0.0;1636228456225;1636228546234;"21h27m47.708s"
"21h27m44.548s";"+67°21'40.45""";"213.172";"213.172";-0.0;1636227792699;1636227882701;"21h27m44.548s"
"21h27m46.976s";"+67°21'51.33""";"287.497";"287.497";-0.0;1636227363260;1636227453264;"21h27m46.976s"
"21h27m44.649s";"+67°21'45.00""";"231.739";"231.739";-0.0;1636227571542;1636227661544;"21h27m44.649s"
"21h27m37.146s";"+67°21'54.09""";"85.971";"85.971";-0.0;1636226909001;1636226999060;"21h27m37.146s"
"21h27m47.131s";"+67°21'35.04""";"221.231";"85.971";-1.026235;1636226909001;1636226999060;"21h27m47.131s"
"21h27m47.131s";"+67°21'35.04""";"221.231";"221.231";-0.0;1636226909001;1636226999060;"21h27m47.131s"
"21h27m45.421s";"+67°21'48.81""";"230.228";"230.228";-0.0;1636227132669;1636227222680;"21h27m45.421s"
"21h27m37.146s";"+67°21'54.09""";"85.971";"221.231";1.026235;1636226909001;1636226999060;"21h27m37.146s"
"21h27m46.033s";"+67°21'49.09""";"296.783";"296.783";-0.0;1636225764588;1636225854603;"21h27m46.033s"
"21h27m49.875s";"+67°21'32.48""";"226.337";"226.337";-0.0;1636226680789;1636226770802;"21h27m49.875s"
"21h27m48.162s";"+67°21'30.42""";"315.423";"315.423";-0.0;1636226449752;1636226539761;"21h27m48.162s"
"21h27m44.965s";"+67°21'47.52""";"266.37";"266.37";-0.0;1636226220973;1636226310977;"21h27m44.965s"
"21h27m46.003s";"+67°21'43.05""";"255.887";"255.887";-0.0;1636224855446;1636224945452;"21h27m46.003s"
"21h27m45.804s";"+67°21'46.31""";"280.664";"280.664";-0.0;1636225535622;1636225625622;"21h27m45.804s"
"21h27m47.816s";"+67°21'36.14""";"233.65";"233.65";-0.0;1636225081534;1636225171757;"21h27m47.816s"
"21h27m45.192s";"+67°21'43.34""";"252.563";"252.563";-0.0;1636225307456;1636225397459;"21h27m45.192s"
"21h27m47.608s";"+67°21'41.24""";"240.789";"240.789";-0.0;1636225989099;1636226079115;"21h27m47.608s"
"21h27m45.228s";"+67°21'38.69""";"212.422";"212.422";-0.0;1636224635082;1636224725094;"21h27m45.228s"
"21h27m47.602s";"+67°21'46.16""";"266.998";"266.998";-0.0;1636222629392;1636222719400;"21h27m47.602s"
"21h27m37.529s";"+67°21'55.01""";"185.346";"185.346";-0.0;1636223500093;1636223590092;"21h27m37.529s"
"21h27m48.743s";"+67°21'38.01""";"225.774";"225.774";-0.0;1636224175716;1636224265721;"21h27m48.743s"
"21h27m45.031s";"+67°21'39.46""";"261.726";"261.726";-0.0;1636224401550;1636224491555;"21h27m45.031s"
"21h27m46.380s";"+67°21'43.70""";"222.61";"222.61";-0.0;1636223949502;1636224039503;"21h27m46.380s"
"21h27m45.204s";"+67°21'57.74""";"232.57";"232.57";-0.0;1636223048208;1636223138216;"21h27m45.204s"
"21h27m46.701s";"+67°21'35.43""";"237.051";"185.346";-0.26714644;1636223500093;1636223590092;"21h27m46.701s"
"21h27m46.701s";"+67°21'35.43""";"237.051";"237.051";-0.0;1636223500093;1636223590092;"21h27m46.701s"
"21h27m37.529s";"+67°21'55.01""";"185.346";"237.051";0.26714644;1636223500093;1636223590092;"21h27m37.529s"
"21h27m46.048s";"+67°21'41.51""";"237.281";"237.281";-0.0;1636222400772;1636222490776;"21h27m46.048s"
"21h27m46.142s";"+67°21'47.73""";"218.692";"218.692";-0.0;1636223731421;1636223821425;"21h27m46.142s"
