RA;Dec;Magnitude;"Exposure middle";"Uploaded by"
"05h48m23.994s";"+30°57'03.37""";1.0490488;"2022-03-02 21:58:12.880";rasto_muni
"05h48m24.001s";"+30°57'03.35""";1.0532861;"2022-03-02 21:56:41.804";rasto_muni
"05h48m23.994s";"+30°57'03.26""";1.0567356;"2022-03-02 21:53:39.254";rasto_muni
"05h48m24.007s";"+30°57'03.19""";1.0681615;"2022-03-02 21:50:36.843";rasto_muni
"05h48m24.006s";"+30°57'03.29""";1.0563074;"2022-03-02 21:52:08.46";rasto_muni
"05h48m23.998s";"+30°57'03.24""";1.0650144;"2022-03-02 21:49:05.596";rasto_muni
"05h48m23.998s";"+30°57'03.23""";1.0628971;"2022-03-02 21:47:34.355";rasto_muni
"05h48m24.000s";"+30°57'03.13""";1.0663513;"2022-03-02 21:46:03.30";rasto_muni
"05h48m23.995s";"+30°57'03.26""";1.0718484;"2022-03-02 21:43:00.481";rasto_muni
"05h48m23.991s";"+30°57'03.33""";1.07906;"2022-03-02 21:44:31.753";rasto_muni
"05h48m24.012s";"+30°57'03.44""";1.0750566;"2022-03-02 21:41:29.371";rasto_muni
"05h48m23.996s";"+30°57'03.20""";1.0885413;"2022-03-02 21:35:24.265";rasto_muni
"05h48m24.003s";"+30°57'03.33""";1.1029297;"2022-03-02 21:26:16.954";rasto_muni
"05h48m23.999s";"+30°57'03.33""";1.0785251;"2022-03-02 21:39:58.67";rasto_muni
"05h48m24.002s";"+30°57'03.15""";1.0902709;"2022-03-02 21:33:53.121";rasto_muni
"05h48m24.002s";"+30°57'03.47""";1.0904489;"2022-03-02 21:32:21.905";rasto_muni
"05h48m24.004s";"+30°57'03.16""";1.1052088;"2022-03-02 21:29:19.448";rasto_muni
"05h48m24.000s";"+30°57'03.17""";1.0986451;"2022-03-02 21:27:48.138";rasto_muni
"05h48m23.999s";"+30°57'03.17""";1.0836344;"2022-03-02 21:38:26.804";rasto_muni
"05h48m24.007s";"+30°57'03.38""";1.0885593;"2022-03-02 21:36:55.580";rasto_muni
"05h48m23.992s";"+30°57'03.22""";1.0829628;"2022-03-02 21:30:50.580";rasto_muni
"05h48m24.001s";"+30°57'03.10""";1.106856;"2022-03-02 21:24:45.766";rasto_muni
"05h48m24.002s";"+30°57'03.22""";1.1116427;"2022-03-02 21:23:14.439";rasto_muni
"05h48m23.995s";"+30°57'03.39""";1.1157128;"2022-03-02 21:18:40.460";rasto_muni
"05h48m23.996s";"+30°57'03.28""";1.116133;"2022-03-02 21:21:43.110";rasto_muni
"05h48m23.999s";"+30°57'03.42""";1.1217473;"2022-03-02 21:20:11.797";rasto_muni
"05h48m24.015s";"+30°57'03.36""";1.131991;"2022-03-02 21:12:35.426";rasto_muni
"05h48m23.993s";"+30°57'03.11""";1.1175576;"2022-03-02 21:17:09.139";rasto_muni
"05h48m24.006s";"+30°57'03.17""";1.1183368;"2022-03-02 21:14:06.639";rasto_muni
"05h48m23.996s";"+30°57'03.26""";1.1196418;"2022-03-02 21:09:32.954";rasto_muni
